profile_id	Full_Name	phone	Customer_segment
1	anusha pariti	8105987404	B
2	Ashish Singh	9876890463	 A
3	Bhaskar maheshwari	9801834992	 A
4	Garima yadav	81059237004	B
5	Tanvi mann	9178352769	B
6	Harish sahai	9876548763	 A
7	Kamal gera	8105987404	 C
8	Tushar kapoor	8926537154	 C
9	Shivshankar das	9801834992	B
10	Aditi jain	9873123456	B
11	Deepa sudhakar	7896785432	B
12	Umang parejiya	7896543674	 A
13	Mitali gupta	8796751238	 A
14	Manisha Yadav	9867845182	 A
15	Shivani godha	9878673428	 C
16	Rajan pandey	8987647811	 C
17	Roosena manuel	9875623345	 A
18	Prabhjot gill	9800786688	B
19	Ankita sharma	9988789656	B
20	Karan Singh	8976665768	B
